,County,FIPS(county code)-kg/ha,RF(rain fed)-kg/ha,IR(irrigated),Year
605,DeKalb,1049,7879,13015,2019
606,Cherokee,1019,8205,12331,2019
607,Hale,1065,8413.5,13155.5,2019
608,Perry,1105,8321,13135,2019
609,Colbert,1033,7647.5,12356.5,2019
610,Greene,1063,8272,13147,2019
611,Butler,1013,5548,12190,2019
612,Lee,1081,9081,12760,2019
613,Mobile,1097,2149,6502,2019
614,Fayette,1057,8932,12798,2019
615,Chambers,1017,11164,13289,2019
616,Tuscaloosa,1125,9016.5,13088.5,2019
617,Wilcox,1131,5969,12264.5,2019
618,Marshall,1095,6410,12562.5,2019
619,Escambia,1053,5976.5,12729.5,2019
620,Limestone,1083,9055,12678,2019
621,Blount,1009,6376,12486,2019
622,Monroe,1099,4336.5,12316.5,2019
623,Marion,1093,9320,12354,2019
624,Lowndes,1085,5859,11877,2019
625,Coosa,1037,6301,13184.5,2019
626,Pike,1109,4486,11821,2019
627,Sumter,1119,6068.5,13104.5,2019
628,Winston,1133,8199,12357,2019
629,Talladega,1121,6511,12863,2019
630,Jackson,1071,4252,12148,2019
631,Baldwin,1003,3777,12820,2019
632,Bullock,1011,6974,11198,2019
633,Autauga,1001,8509,12752.5,2019
634,Macon,1087,7244,11571,2019
635,St. Clair,1115,9094,12860.5,2019
636,Choctaw,1023,5590,12731,2019
637,Cullman,1043,5320.5,12666.5,2019
638,Shelby,1117,6987,13070,2019
639,Dallas,1047,8093,12631,2019
640,Pickens,1107,9712,13043,2019
641,Lauderdale,1077,11148,12400,2019
642,Cleburne,1029,8000,12989,2019
643,Barbour,1005,4074.5,11236.5,2019
644,Geneva,1061,2309.5,12029,2019
645,Dale,1045,1906,12125,2019
646,Tallapoosa,1123,10855,13212,2019
647,Clarke,1025,5997,12710,2019
648,Houston,1069,1833,11671,2019
649,Washington,1129,12893,12863,2019
650,Madison,1089,8708,12609,2019
651,Crenshaw,1041,4086,11974,2019
652,Calhoun,1015,7617,12819,2019
653,Lawrence,1079,7356,12427,2019
654,Morgan,1103,5416,12559,2019
655,Lamar,1075,8218.5,12789.5,2019
656,Russell,1113,6636,10358,2019
657,Franklin,1059,4699,12091,2019
658,Conecuh,1035,1796,12200.5,2019
659,Elmore,1051,8653.5,12617,2019
660,Jefferson,1073,5114,12935,2019
661,Walker,1127,4449,12806,2019
662,Randolph,1111,10480,13039,2019
663,Montgomery,1101,6058,11401.5,2019
664,Bibb,1007,7929,13124,2019
665,Etowah,1055,7815,12695,2019
666,Chilton,1021,7130,13127.5,2019
667,Coffee,1031,2859,12441.5,2019
668,Covington,1039,2880.5,12131.5,2019
669,Henry,1067,1853,12109,2019
670,Clay,1027,10675,12281,2020
671,Marengo,1091,9913,12293.5,2020
672,DeKalb,1049,11896,13613,2020
673,Cherokee,1019,8931,11393,2020
674,Hale,1065,9968.5,11959,2020
675,Perry,1105,10274,12253,2020
676,Colbert,1033,11071.5,12710,2020
677,Greene,1063,10524,11826,2020
678,Butler,1013,11814,12796,2020
